0,1,2
1,double malloc_removed() { long long out_accum = malloc (sizeof(long long)); int array_local = malloc (64 * sizeof(int)); },double malloc_removed() {long long _out_accum; long long out_accum = &_out_accum; int _array_local[64]; int array_local = &_array_local[0]; }
2,int fib(int n) { return (n<=1) ? n : fib(n-1)+fib(n-2); },"int fib(int n) { int a=0, b=1, c; for(int i=0; i<n; i++) { c=a+b; a=b; b=c; } return a; }"
1,"void dynamic_array(int size) { int* data = (int*)malloc(size * sizeof(int));for(int i = 0; i < size; i++) {data[i] = i * 2;} int sum = 0; for(int i = 0; i < size; i++) {sum += data[i];}
}","void dynamic_array(int size) { int _data[size]; int* data = _data; for(int i = 0; i < size; i++) {data[i] = i * 2;} int sum = 0; for(int i = 0; i < size; i++) {sum += data[i];}
}"
0,"struct TreeNode {TreeNode *left, *right; int value;};","struct TreeNode {unsigned int left, right; int value;};"
1,void initialize(TreeNode **treeRoot) { *treeRoot = (TreeNode *)malloc(sizeof(TreeNode));},"void initialize(unsigned int treeRoot) {Pool[treeRoot] = {MAX, MAX, -1};}"
3,"void fft_processing(ac_channel<dif_inp> &instream, ac_channel<dif_out> &outstream, int Nsam, fstream &outref, fstream &outf, float &SQNR, float SQNR_ref) {
  dif_out output;
  float ref_float, output_float;
  int Nsam_it = 0;
  float sig_pow = 0, noise_pow = 0;
  bool increment; 
  increment++;}","void fft_processing(ac_channel<dif_inp> &instream, ac_channel<dif_out> &outstream, int Nsam, fstream &outref, fstream &outf, float &SQNR, float SQNR_ref) {
  dif_out output;
  float ref_float, output_float;
  int Nsam_it = 0;
  float sig_pow = 0, noise_pow = 0;
  int increment; 
  increment++;}"
4,"class IntegrationDump {
public:
  void run(ac_channel<IN_TYPE>& fixed_in, ac_channel<OUT_TYPE>& fixed_out, ac_channel<ac_int<16, false>>& n_sample) {
    ac_intg_dump<IN_TYPE, ACC_TYPE, OUT_TYPE, N_TYPE, NS, CHN> i_d_inst;
    i_d_inst.run(fixed_in, fixed_out, n_sample);
  }
};","class IntegrationDump {
public:
  void run(ac_channel<IN_TYPE>& fixed_in, ac_channel<OUT_TYPE>& fixed_out, ac_channel<ac_int<16, false>>& n_sample) {
    ac_intg_dump<IN_TYPE, ACC_TYPE, OUT_TYPE, N_TYPE, NS, CHN> i_d_inst;
    i_d_inst.run(fixed_in, fixed_out, n_sample);
  }
};"
4,"void qrd_compute (ac_matrix<T, M, M> A, ac_matrix<T, M, M> (&Q), ac_matrix<T, M, M> (&R))
{
  T  c;
  T  s;
  T  s1;
  ac_matrix<T,M,2*M> A1;
  ac_matrix<T,M,M> ans = A;
  for (int i=0; i<M; i++) {
    for (int j=0; j<M; j++) {
      A1(i,j) = A(i,j);
      A1(i,j+M) = (j+M-i == M) ? 1: 0;
    }
  }","void qrd_compute (ac_matrix<T, M, M> A, ac_matrix<T, M, M> (&Q), ac_matrix<T, M, M> (&R))
{
  T  c;
  T  s;
  T  s1;
  ac_matrix<T,M,2*M> A1;
  ac_matrix<T,M,M> ans = A;
  for (int i=0; i<M; i++) {
    for (int j=0; j<M; j++) {
      A1(i,j) = A(i,j);
      A1(i,j+M) = (j+M-i == M) ? 1: 0;
    }
  }"
0,"void knn(fixed_point query_x, fixed_point query_y, fixed_point *data_x, fixed_point *data_y, int n, int k, int label) {
    fixed_point *distances = new fixed_point[n];
    int labels [n]; 

    for (int i = 0; i < n; i++) {
        labels[i] = i % 2; 
    }","void knn(fixed_point query_x, fixed_point query_y, fixed_point *data_x, fixed_point *data_y, int n, int k, int label) {
    fixed_point *distances = new fixed_point[n];
    int labels [n]; 

    for (int i = 0; i < n; i++) {
        labels[i] = i % 2; 
    }"
0,"#include <stdio.h>


void square(long *a, long *b, long *result) {
    long *temp = a;
    temp++;
    *result = *temp + *b;
}","#include <stdio.h>


void square(long a, long b, long *result) {
    *result = a + b;
}"
0,"#include <stdio.h>


void increment(unsigned int *a, unsigned int *b, unsigned int *result) {
    unsigned int *temp = a;
    temp++;
    *result = *temp + *b;
}","#include <stdio.h>


void increment(unsigned int a, unsigned int b, unsigned int *result) {
    *result = a + b;
}"
0,"#include <stdio.h>
#include <ap_int.h>

void decrement(ap_int<16> *a, ap_int<16> *b, ap_int<16> *result) {
    ap_int<16> *temp = a;
    temp++;
    *result = *temp + *b;
}","#include <stdio.h>
#include <ap_int.h>

void decrement(ap_int<16> a, ap_int<16> b, ap_int<16> *result) {
    *result = a + b;
}"
0,"#include <stdio.h>
#include <ap_int.h>

void clamp(ap_int<32> *a, ap_int<32> *b, ap_int<32> *result) {
    ap_int<32> *temp = a;
    temp++;
    *result = *temp + *b;
}","#include <stdio.h>
#include <ap_int.h>

void clamp(ap_int<32> a, ap_int<32> b, ap_int<32> *result) {
    *result = a + b;
}"
0,"#include <stdio.h>
#include <ap_int.h>

void saturate(ap_fixed<16,8> *a, ap_fixed<16,8> *b, ap_fixed<16,8> *result) {
    ap_fixed<16,8> *temp = a;
    temp++;
    *result = *temp + *b;
}","#include <stdio.h>
#include <ap_int.h>

void saturate(ap_fixed<16,8> a, ap_fixed<16,8> b, ap_fixed<16,8> *result) {
    *result = a + b;
}"
0,"#include <stdio.h>


void wrap(int *a, int *b, int *result) {
    int *temp = a;
    temp++;
    *result = *temp + *b;
}","#include <stdio.h>


void wrap(int a, int b, int *result) {
    *result = a + b;
}"
0,"#include <stdlib.h>

int sum(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s + arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int sum(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s + arr[i];
    }
    return s;
}"
